datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T17:43:48.000000Z,APEX-1-T,42.731109619140625,-71.33277893066406,5866,0.0,1.6274509803921569,0,493.0,49.1,732,15,68,49,2025-06-21T17:43:54.710797,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615487,Horus Binary v2,,3.52,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:53.788484Z,5903DC02112B30A8EC2A4262AA8EC2EA16440F31530000EB01004213000009CA
2025-06-21T17:43:43.000000Z,APEX-1-T,42.731719970703125,-71.33356475830078,5832,0.0,1.607843137254902,0,495.2,49.3,731,15,70,49,2025-06-21T17:43:50.567546,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615499,Horus Binary v2,,4.93,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:48.755811Z,5903DB02112B2B48ED2A42C9AA8EC2C816460F31520000ED010058130000DD2C
2025-06-21T17:43:28.000000Z,APEX-1-T,42.73357009887695,-71.33616638183594,5735,0.0,1.6274509803921569,0,501.6,49.6,728,15,71,49,2025-06-21T17:43:34.121742,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615495,Horus Binary v2,,5.76,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:43:33.736505Z,5903D802112B1C2DEF2A421EAC8EC26716470F31530000F00100981300002314
2025-06-21T17:47:18.000000Z,APEX-1-T,42.70097351074219,-71.2995376586914,7363,0.0,1.607843137254902,0,402.9,43.9,774,16,81,43,2025-06-21T17:47:23.965557,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615499,Horus Binary v2,,1.8,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:23.527286Z,59030603112F12CCCD2A425D998EC2C31C51102B520000B70100BD0F0000C2B6
2025-06-21T17:47:53.000000Z,APEX-1-T,42.694679260253906,-71.2939224243164,7605,0.0,1.607843137254902,0,389.6,42.9,781,16,81,42,2025-06-21T17:47:58.880978,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615511,Horus Binary v2,,2.67,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:58.597631Z,59030D03112F355AC72A427D968EC2B51D51102A520000AD0100380F000023CA
2025-06-21T17:47:23.000000Z,APEX-1-T,42.700191497802734,-71.29871368408203,7404,0.0,1.607843137254902,0,400.9,43.8,775,16,86,43,2025-06-21T17:47:30.086644,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615512,Horus Binary v2,,8.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:28.488104Z,59030703112F17FFCC2A42F1988EC2EC1C56102B520000B60100A90F00009C50
2025-06-21T17:47:28.000000Z,APEX-1-T,42.69922637939453,-71.2977523803711,7436,0.0,1.6274509803921569,0,399.2,43.6,776,16,98,43,2025-06-21T17:47:34.197515,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615506,Horus Binary v2,,-1.66,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:33.522640Z,59030803112F1C02CC2A4273988EC20C1D62102B530000B40100980F0000115C
2025-06-21T17:47:08.000000Z,APEX-1-T,42.70268630981445,-71.30122375488281,7284,0.0,1.6274509803921569,0,407.4,44.2,772,16,79,44,2025-06-21T17:47:13.605974,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615502,Horus Binary v2,,6.68,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:13.471366Z,59030403112F088DCF2A423A9A8EC2741C4F102C530000BA0100EA0F00003C78
2025-06-21T17:47:33.000000Z,APEX-1-T,42.69822311401367,-71.29695892333984,7468,0.0,1.607843137254902,0,397.2,43.5,777,16,84,43,2025-06-21T17:47:40.349020,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615502,Horus Binary v2,,-1.28,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:38.547069Z,59030903112F21FBCA2A420B988EC22C1D54102B520000B30100840F0000CEF2
2025-06-21T17:47:38.000000Z,APEX-1-T,42.697383880615234,-71.29630279541016,7502,0.0,1.6274509803921569,0,395.4,43.3,778,16,75,43,2025-06-21T17:47:44.482058,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615503,Horus Binary v2,,4.12,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:43.586765Z,59030A03112F261FCA2A42B5978EC24E1D4B102B530000B10100720F00002981
2025-06-21T17:47:03.000000Z,APEX-1-T,42.70352554321289,-71.30201721191406,7242,0.0,1.6274509803921569,0,409.7,44.3,771,16,81,44,2025-06-21T17:47:09.431004,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615506,Horus Binary v2,,6.41,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:08.507522Z,59030303112F0369D02A42A29A8EC24A1C51102C530000BB010001100000D1FD
2025-06-21T17:47:13.000000Z,APEX-1-T,42.70187759399414,-71.30034637451172,7323,0.0,1.6274509803921569,0,405.1,44.0,773,16,90,44,2025-06-21T17:47:19.748369,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615502,Horus Binary v2,,4.09,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:47:18.507998Z,59030503112F0DB9CE2A42C7998EC29B1C5A102C530000B80100D30F0000245E
2025-06-21T18:06:53.000000Z,APEX-1-T,42.29853057861328,-71.17874908447266,14939,0.0,1.4313725490196079,0,130.9,17.1,1009,14,62,17,2025-06-21T18:06:59.505926,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.6156,Horus Binary v2,,1.1,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:06:58.739930Z,5903F103120635B2312942855B8EC25B3A3E0E11490000AB00001D05000035F2
2025-06-21T18:06:58.000000Z,APEX-1-T,42.298187255859375,-71.17766571044922,14963,0.0,1.4313725490196079,0,130.3,17.0,1010,14,69,17,2025-06-21T18:07:05.625295,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615597,Horus Binary v2,,4.97,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:07:03.780644Z,5903F20312063A58312942F75A8EC2733A450E11490000AA000017050000E450
2025-06-21T18:07:03.000000Z,APEX-1-T,42.298004150390625,-71.17672729492188,14986,0.0,1.4313725490196079,0,129.8,17.0,1011,14,56,17,2025-06-21T18:07:09.775293,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615593,Horus Binary v2,,9.87,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:07:08.736662Z,5903F303120703283129427C5A8EC28A3A380E11490000AA0000120500005F3D
2025-06-21T18:06:48.000000Z,APEX-1-T,42.29885482788086,-71.1796875,14912,0.0,1.4313725490196079,0,131.4,17.2,1008,14,63,17,2025-06-21T18:06:55.386189,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615602,Horus Binary v2,,3.79,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:06:53.716927Z,5903F00312063007322942005C8EC2403A3F0E11490000AC0000220500001D73
2025-06-21T18:06:28.000000Z,APEX-1-T,42.30055236816406,-71.18355560302734,14811,0.0,1.4313725490196079,0,133.5,17.3,1004,14,73,17,2025-06-21T18:06:34.856303,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615597,Horus Binary v2,,-0.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:06:33.666136Z,5903EC0312061CC4332942FB5D8EC2DB39490E11490000AD0000370500003B6B
2025-06-21T18:06:33.000000Z,APEX-1-T,42.30008316040039,-71.18254089355469,14836,0.0,1.4313725490196079,0,133.0,17.3,1005,14,69,17,2025-06-21T18:06:38.971507,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.6156,Horus Binary v2,,0.08,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:06:38.698745Z,5903ED0312062149332942765D8EC2F439450E11490000AD0000320500004342
2025-06-21T18:06:43.000000Z,APEX-1-T,42.29923629760742,-71.18065643310547,14886,0.0,1.4313725490196079,0,132.0,17.2,1007,14,62,17,2025-06-21T18:06:49.213967,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615607,Horus Binary v2,,-1.19,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:06:48.764556Z,5903EF0312062B6B3229427F5C8EC2263A3E0E11490000AC000028050000132A
2025-06-21T18:06:13.000000Z,APEX-1-T,42.30187225341797,-71.18681335449219,14740,0.0,1.411764705882353,0,135.0,17.5,1001,14,78,17,2025-06-21T18:06:20.466313,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615597,Horus Binary v2,,4.18,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T18:06:18.630154Z,5903E90312060D1E352942A65F8EC294394E0E11480000AF000046050000ACE5
